group,route_count,representative_routes,auth_boundary,maturity,primary_risk,next_research_action
public_health,2,"GET /health; GET /ready",public,good,"Readiness only proves configured env, not full product claim truth.","Exercise /ready across production env matrices and record accepted configurations."
pricing_plans,2,"GET /v1/pricing; GET /v1/plans",public,good,"Pricing can drift from static pages and source docs.","Compare API pricing to public/pricing.html and docs monthly."
account_bootstrap,8,"POST /v1/signup; POST /v1/signin; POST /v1/anon/bootstrap; POST /v1/anon/claim",public_or_body_token,functional,"API-key-first auth is simple but not full account lifecycle.","Map signup, OAuth, key rotation, lost-key, and browser session flows."
oauth,3,"GET /v1/oauth/providers; GET /v1/oauth/:provider/start; GET /v1/oauth/:provider/callback",public,scaffolded,"OAuth is env-dependent and rotates API keys for session users.","Document OAuth/CLI key implications and test provider-disabled UI states."
public_registry_run,6,"GET /v1/public/concepts; POST /v1/public/run; GET /v1/registry/export; GET /v1/registry/public",public,functional,"Registry export can sound like full offline model runtime when it is recipe-tier source export.","Add artifact-tier labels to API docs and public registry cards."
spec_receipts,2,"GET /v1/spec; POST /v1/receipts/verify",public,core_v0,"HMAC receipt mode is not public-key third-party proof.","Write receipt-mode spec and Ed25519 migration plan."
verified_wrap,2,"POST /v1/wrap/verified; POST /v1/verified-inference",authenticated_rate_limited,provider_dependent,"Requires configured provider key and verifier quality.","Add status/docs explaining required env and failure modes."
staff_health,1,"GET /v1/health",admin,good,"Detailed health is admin-only but source claims should reference public /ready for deploy gates.","Confirm no sensitive env leaks in production diagnostics."
compile_artifacts,7,"POST /v1/compile; GET /v1/compile/:id; GET /v1/compile/:id/.kolm; GET /v1/artifacts/:id/download",authenticated,core_v0,"Compile jobs are in process and artifacts are recipe/pointer tier.","Create sample artifact evidence page and job durability test."
recall_embed,4,"POST /v1/recall; POST /v1/embed; GET /v1/recall/status; GET /v1/recall/sources/:id(*)",authenticated,early,"Recall storage/index backend and tenant data boundaries need deeper review.","Build recall data-flow diagram and source-access threat model."
assistant_account,7,"POST /v1/assistant; GET /v1/account; POST /v1/account/rotate-key; POST /v1/account/delete",authenticated,functional,"No org/RBAC/SSO and limited account recovery.","Create enterprise account readiness checklist."
billing,1,"POST /v1/stripe/webhook",public_webhook,helper_unit_covered,"Webhook signature helper is covered but durable event idempotency is not proven.","Add event table/outbox/idempotency design."
synthesis_registry_run,13,"POST /v1/synthesize; POST /v1/publish; GET /v1/concepts; POST /v1/run; POST /v1/compose",authenticated,core_product,"Main workflow depends on verifier/sandbox and registry proof quality.","Map compile-synthesize-publish-run data lineage with receipts."
telemetry_library,2,"GET /v1/telemetry; GET /v1/library",authenticated,mixed,"Telemetry uses invocation count as receipt proxy until a receipt table exists.","Add receipts table or label telemetry as proxy."
admin,5,"POST /v1/admin/tenant; GET /v1/admin/tenants; GET /v1/admin/diagnostics; GET /v1/admin/waitlist",admin,internal,"Admin routes are mixed into monolithic router.","Split admin routes and add route manifest."
recipes_jobs,8,"GET /v1/recipes; POST /v1/recipes/:id/label-corpus; GET /v1/jobs/:id; GET /v1/recipes/:id/lineage",authenticated,functional_early,"Label corpus and lineage are important but not yet tied to full LoRA pipeline.","Trace recipe lineage from capture through auto-synthesize."
specialists,6,"POST /v1/specialists/train; GET /v1/specialists/:id/weights; POST /v1/specialists/:id/run; POST /v1/specialists/auto-distill",mixed_preview,preview,"Training is bridge-dependent or incomplete, while marketing can overclaim Specialists.","Keep Specialist copy in preview until a real model-bearing artifact exists."
public_submission,1,"POST /v1/public/submit",authenticated,functional,"Public naming but tenant-owned auth requirement can confuse API users.","Clarify docs and UI copy."
bridges_capture,9,"POST /v1/bridges/observe; GET /v1/bridges/suggestions; POST /v1/capture/openai; GET /v1/labels/synthesize-corpus",authenticated,strong_wedge,"Most important GTM path needs end-to-end proof and data retention policy.","Build capture-to-artifact integration test and privacy note."
memory_bridge,1,"POST /v1/memory/recall",authenticated,compatibility_bridge,"Memory naming can pull positioning toward memory vendors.","Frame as compatibility bridge, not product category."

