claim_id,scope,source,location_or_lines,claim_category,claim_summary,evidence_truth,risk,next_action,status
KCA-001,live,https://kolm.ai/,"lines 11-13, 33-47, 75-78, 121-131, 139-159, 162-213",offline_model_artifact,"Homepage says Kolm compiles data into a model, returns a signed artifact that runs anywhere offline, shows 2.34 GB model artifact, ed25519 signature, model plus LoRA plus draft pack plus index, phone support, public-registry anchoring, and on-chain receipts.","Local README and source say v0 artifacts are cloud-runtime pointer/recipe artifacts; receipts are HMAC; on-chain and public-key modes are not shipped.","P0","Replace live homepage with v0-accurate recipe-tier copy or ship real model/LoRA/mobile/public-key receipt proof before restoring these claims.","open"
KCA-002,live,https://kolm.ai/pricing,"lines 0-15, 30-57, 71-84, 97-130",stale_brand_and_pricing,"Live pricing still uses Recipe/REM Labs vocabulary, old package names, savings claims, Specialists included, VPC/on-prem option, SOC 2 Type II Q2 2027, and air-gapped runtime/custom marketplace language.","Local repo and current docs have moved to Kolm vocabulary; Specialist training is preview/bridge-dependent; enterprise compliance evidence remains roadmap.","P0","Rebuild live pricing from current PLAN_CATALOG/API copy and remove Recipe/REM Labs drift, unproven specialist/VPC/airgap/SOC2 language, and unsupported packages.","open"
KCA-003,live,https://kolm.ai/docs,"lines 9-24, 35-39, 184-250, 264-266",stale_api_docs,"Live docs say 21 endpoints and use @kolmogorov/recipe, kolmogorov-recipe, Railway URLs, and Recipe MCP package names.","Local router has 86 inline route declarations plus OAuth routes; local SDK package tested as @kolmogorov/kolm-sdk; product brand is Kolm.","P1","Generate docs from a route manifest or replace live docs with current API reference from repo before launch.","open"
KCA-004,live,https://kolm.ai/device,"lines 9-13, 24-42, 56-66",registry_as_model,"Live device page says the full public registry downloads to phone, every recipe runs locally/offline with no GPU/API bill, and the registry is the model.","This is plausible for deterministic JS recipe export/PWA behavior, but the language can be read as local model execution. It should be explicitly labeled recipe-registry mode.","P1","Keep the demo but add a tier label: 'recipe-registry mode, no model weights, no LoRA, no private corpus'.","open"
KCA-005,local,public/index.html,"lines 17, 27, 466, 475, 560, 614, 678, 703",homepage_overclaim,"Local homepage says model/examples/evaluator packaged into one runnable artifact, laptop/phone/VPC, no data leaves, no API, no per-token bill, every run makes it better.","Current source supports recipe-tier artifacts and compile/run receipts, not general phone/VPC local model execution or automatic learning every run.","P0","Qualify hero and metadata: recipe-tier today; local model/LoRA/runtime targets are roadmap or enterprise-validated deployments.","open"
KCA-006,local,public/api.html,"lines 333, 510, 591-605, 623-629",lora_and_receipts,"API page says compile fits a LoRA, capture/distill trains a LoRA and ships signed artifact, and anyone can re-verify offline against a registry HMAC chain.","`src/compile.js` marks LoRA as Sprint 3; `src/router.js` auto-distill returns 503 if bridge missing; receipts are HMAC with shared secret, not public-key verification.","P0","Split current API docs into shipped and preview sections; mark auto-distill and LoRA bridge as preview; define receipt modes honestly.","open"
KCA-007,local,public/faq.html,"lines 86, 133, 141, 153, 169",artifact_contents,"FAQ says `.kolm` contains base model, personal LoRA, recipe pack, recall index, verifier, manifest, signature chain, and student baked in.","`src/artifact.js` writes `model.gguf` as pointer metadata and `lora.bin`/`index.sqlite-vec` as v0 slots or behavior/index containers, not real model/LoRA/sqlite-vec by default.","P0","Rewrite FAQ to reflect artifact tiers: recipe, pointer, adapter/specialist future, bundle future.","open"
KCA-008,local,public/healthcare.html,"lines 176-177, 209, 248, 337, 385-386",regulated_healthcare,"Healthcare page metadata says HIPAA-ready offline specialist and PHI never leaves device/network; body also includes a good disclaimer that public product is not a HIPAA compliance certification.","The disclaimer is good, but SEO metadata and lede still create a compliance/privacy guarantee beyond default hosted compile/capture behavior.","P0","Make metadata and hero as careful as the disclaimer: 'Enterprise design target' and 'customer-controlled deployment required for PHI'.","open"
KCA-009,local,public/baa.html,"lines 47, 61, 67-69, 83-85, 117-118",baa_dpa,"BAA page says standard BAA/DPA template, founder-signed within 48 hours, PHI never leaves covered entity network at runtime, and subprocessor list details.","May be useful for enterprise sales but it is legal/compliance content. It needs owner review and current subprocessor evidence before public reliance.","P1","Add legal-owner status, last-reviewed date, and 'draft template, not executed agreement' guardrails in metadata and page top.","open"
KCA-010,local,public/use-cases/mobile.html,"lines 7, 13, 22, 153-154, 198-203, 214, 238-256, 266, 290",mobile_runtime,"Mobile page claims Hermes-class phone behavior, iPhone/Pixel support, 35-90 tok/s, React Native/Swift/Kotlin SDK, llama.cpp and ExecuTorch, and offline signed inference.","Line 239 admits RN module is preview and today is browser-WASM via WebView. The rest reads as shipped device runtime and benchmark data.","P0","Move performance table and SDK claims to roadmap or 'target' until reproducible device benchmarks and SDK packages exist.","open"
KCA-011,local,public/device.html,"lines 9, 53-63, 132, 159, 421-428",recipe_registry_pwa,"Device page says public registry recipes run locally/offline via PWA and service worker.","This is the safest local/offline claim if scoped to public JS recipes from `/v1/registry/export`. It should avoid implying model weights.","P2","Use this page as the model for safe 'offline' language: recipe-registry mode, not full specialist runtime.","monitor"
KCA-012,local,public/benchmarks.html,"lines 7, 155, 164-176, 282, 316, 335-336",benchmark_truth,"Benchmarks page focuses on embedded evals, offline recipe-tier benchmark, monitored egress, HMAC chain, and fixture secret.","This aligns with artifact-end-to-end tests and is comparatively honest, though HMAC/shared-secret limitations should remain visible.","P2","Keep benchmark page as proof anchor; link from overclaiming pages as the current shipped evidence.","monitor"
KCA-013,local,public/build-your-own.html,"lines 239, 256, 260-261, 347-348",local_authoring,"Build-your-own page makes safe HMAC/local-secret claims, but later says auto-distill can output recipe or LoRA and offline specialist.","Local spec compile is real for recipe-tier; auto-distill/LoRA remains bridge-dependent.","P1","Split local authoring recipe-tier proof from capture/auto-distill preview copy.","open"
KCA-014,local,public/articles/ai-compiler.html,"lines 209, 218, 231, 234, 269, 281",good_qualification,"Article explicitly says current public product proves recipe-mode artifact path and full native model execution requires runtime bridge work and benchmarks.","This is the clearest safe wording for public long-form claims.","P2","Reuse this qualification language across homepage, FAQ, API, healthcare, and mobile pages.","monitor"
