insight_id,updated_at,priority,area,claim_or_finding,evidence,why_it_matters,next_action,status,source_refs
KCI-001,2026-05-12,P0,Positioning,"Live positioning says owned offline artifacts; repo implementation still says v0 cloud-runtime pointers.","Live `https://kolm.ai/` claims signed artifacts that run offline; `README.md` says v0 `.kolm` files contain signed pointers; `src/compile.js` says Sprint 1 produces cloud-runtime artifacts; `src/artifact.js` writes pointer-only `model.gguf`.","This is the single highest trust gap. Buyers will compare promises to artifact contents.","Either narrow live copy to recipe-tier pointer artifacts or ship actual local runtime/weight packaging before using the full offline claim.","open","kolm-live-home; README.md; src/compile.js; src/artifact.js"
KCI-002,2026-05-12,P0,Security,"Receipts are implemented as HMAC today, not public-key signatures or Sigstore/Rekor anchored proofs.","`src/artifact.js` emits `signature_alg: hmac-sha256`; `src/router.js` verifies HMAC receipts; strategy docs call out future Sigstore/Rekor and Ed25519 needs.","Shared-secret receipts are useful for v0 but weak for third-party proof and enterprise audit.","Define receipt modes: dev HMAC, tenant HMAC, public Ed25519, Rekor-anchored. Ship public-key verifier before enterprise claims.","open","src/artifact.js; src/router.js; docs/SOTA-2026-05-11.md; sigstore-docs"
KCI-003,2026-05-12,P0,Security,"Recipe execution uses `node:vm` plus string scanning, which is not a production sandbox.","`src/verifier.js` says production should harden with isolated-vm or wasmtime and notes `node:vm` is not a hard boundary.","Untrusted recipe code is a severe security risk if customers or registry publishers can provide code.","Move untrusted JS to isolated-vm/microVM or constrain recipe language to declarative/WASM with Wasmtime.","open","src/verifier.js"
KCI-004,2026-05-12,P0,Infrastructure,"Durability is improved by optional SQLite, but default storage is still JSON and compile orchestration is still in-process.","`src/store.js` defaults `KOLM_STORE_DRIVER` to `json`; `src/compile.js` uses `const JOBS = new Map()` and persists job rows separately.","A multi-tenant compiler/registry cannot rely on process memory and local JSON under scale or multi-instance deploys.","Choose short-term production target: SQLite+WAL for single-node launch or Postgres+queue for public scale. Document the deployment ceiling.","open","src/store.js; src/compile.js; docs/SOTA-2026-05-11.md"
KCI-005,2026-05-12,P0,Product Proof,"K-score exists in code, but public benchmark credibility still depends on real hardware/runtime data.","`src/artifact.js` implements K-score formula; docs request hardware matrix against Core ML, LiteRT, ONNX Runtime, ExecuTorch, llama.cpp, MLC, cloud baselines.","Without benchmarks, the 'private AI compiler' claim reads like narrative rather than evidence.","Create benchmark harness and publish at least 5 repeatable workloads with latency, size, accuracy, receipt overhead, and device class.","open","src/artifact.js; docs/kolm-infra-business-strategy-report-2026-05-06.md; coreml-docs; litert-docs; onnx-runtime-mobile; executorch-docs"
KCI-006,2026-05-12,P0,GTM,"Healthcare/regulated-data wedge is stronger than generic developer positioning, but claims need BAA/DPA/subprocessor proof.","Prior strategy report recommends regulated mobile health; live home is broader; security/compliance pages exist but enterprise evidence is not yet complete.","The best buyer pain is privacy and auditability, but overclaiming HIPAA/EU AI readiness creates legal and trust risk.","Publish current-state compliance posture: no certification claims, DPA/BAA status, subprocessor list, receipt example, data retention limits.","open","docs/kolm-infra-business-strategy-report-2026-05-06.md; eu-ai-act-commission"
KCI-007,2026-05-12,P1,Competitive Strategy,"Gateways and routers are better integration targets than enemies.","Portkey, LiteLLM, Cloudflare AI Gateway, Vercel AI Gateway, and OpenRouter all sell routing, observability, cost controls, or provider abstraction.","They already sit in traffic. Kolm can be the artifact-first replacement route inside those products.","Build LiteLLM and Vercel AI SDK middleware first; then Portkey/Cloudflare integration docs.","open","portkey-docs; litellm-docs; cloudflare-ai-gateway-docs; vercel-ai-gateway-docs; openrouter-docs"
KCI-008,2026-05-12,P1,Competitive Strategy,"Observability/eval platforms own traces and evaluation workflows, not portable signed behavior artifacts.","LangSmith, Langfuse, Braintrust, Helicone, PromptLayer, Humanloop, Phoenix, and Weave focus on tracing, evals, prompts, experiments, dashboards, and datasets.","They are natural sources of examples and traces for compilation into `.kolm`, not direct replacements if Kolm proves artifact/receipt value.","Add import/export flows from Langfuse, Braintrust, LangSmith, and Helicone trace datasets.","open","langsmith-docs; langfuse-docs; braintrust-docs; helicone-docs; promptlayer-docs; humanloop-docs; phoenix-docs"
KCI-009,2026-05-12,P1,Competitive Strategy,"Fine-tuning vendors own training UX and hosted inference; Kolm's wedge is signed task artifacts plus governance.","Predibase, OpenPipe, Together, OpenAI, Hugging Face AutoTrain, Fireworks, and Replicate emphasize model customization and deployment.","Kolm should avoid saying it is simply better fine-tuning. It should package, gate, sign, govern, and route task behavior.","Define adapter/specialist packaging contract and a partner path to external training vendors until native training is mature.","open","predibase-docs; openpipe-docs; together-finetune-docs; openai-finetune-docs; hf-autotrain-docs"
KCI-010,2026-05-12,P1,Product Strategy,"On-device runtimes are substrate competitors only if Kolm claims to replace them.","Apple Core ML/Foundation Models, Google LiteRT, ONNX Runtime Mobile, ExecuTorch, llama.cpp, MLC, Ollama, and LM Studio provide local execution primitives.","Kolm's durable claim should be cross-runtime artifact packaging, evals, receipts, registry, and updates.","Publish target matrix: iOS/Core ML, Android/LiteRT, server/ONNX or llama.cpp, browser/WebGPU, edge/WASM. Mark unsupported targets plainly.","open","coreml-docs; apple-foundation-models; litert-docs; onnx-runtime-mobile; executorch-docs; ollama-docs"
KCI-011,2026-05-12,P1,Ecosystem,"MCP is complementary: it defines agent/tool context, not task artifact proof.","Official MCP docs define a protocol layer for connecting applications, tools, prompts, and resources to models.","A Kolm MCP server can make artifacts discoverable and runnable by agents while receipts remain Kolm's proof layer.","Prioritize MCP server docs and recipes: search artifact, run artifact, verify receipt, publish eval result.","open","mcp-docs; sdk/mcp/README.md"
KCI-012,2026-05-12,P1,Ecosystem,"OpenAI Structured Outputs solves schema adherence for generation, not artifact ownership or offline execution.","OpenAI docs describe schema-constrained model outputs; it remains provider/runtime-bound.","This is a buyer objection: 'why not JSON schema?' The answer is receipts, portability, local runtime, and registry governance.","Create a `vs-structured-outputs` comparison page or docs section with exact boundaries.","open","openai-structured-outputs"
KCI-013,2026-05-12,P1,Trust,"Registry value is not visible until real artifacts, eval sets, hashes, and receipts back listings.","Current docs and pages describe registry/leaderboard; source review indicates many surfaces exist but not enough real third-party artifacts.","A registry without proof looks like a gallery. A registry with signed evals becomes a moat.","Seed 8-12 first-party artifacts with reproducible evals and downloadable receipts before marketplace language.","open","public/registry.html; src/registry.js; docs/kolm-infra-business-strategy-report-2026-05-06.md"
KCI-014,2026-05-12,P1,Regulatory,"EU AI Act can support the auditability narrative, but legal obligations are risk-tiered and phased.","European Commission materials describe the AI Act as a risk-based framework with phased obligations.","Avoid blanket 'EU AI Act compliant' claims. Sell evidence generation and audit trails, not legal compliance guarantees.","Write an AI governance evidence pack page with legal disclaimers and example receipt exports.","open","eu-ai-act-commission; eu-ai-act-service-desk"
KCI-015,2026-05-12,P1,Developer Experience,"The CLI/SDK/MCP surfaces are real enough to be a strong wedge, but package naming and quickstart need one canonical path.","Repo has CLI, JS SDK, Python SDK, MCP server, GitHub action, Homebrew/Winget scripts, and many examples.","Distribution is a product advantage if a new user can compile/run/verify in 5 minutes from a clean machine.","Test a clean-machine quickstart and write a single canonical install path. Remove or demote legacy names.","open","README.md; cli/kolm.js; sdk/node; sdk/python; sdk/mcp"
KCI-016,2026-05-12,P2,Brand,"The strongest mental model is 'Docker image plus Sigstore for AI behavior', but it must be backed by conformance.","Prior docs use Docker/package/spec comparisons. Competitor set does not own this exact artifact+receipt lane.","This is memorable, but only defensible if `.kolm` has a stable spec and independent verification.","Publish RS-1 conformance tests and badge criteria before claiming standard ownership.","open","docs/rs-1.md; sigstore-docs; docs/SOTA-2026-05-11.md"
KCI-017,2026-05-12,P2,Market,"Observability platforms could clone 'compile repeated traces to cheap functions' faster than they can clone a standard and receipt ecosystem.","Langfuse/Braintrust/LangSmith/Helicone already collect trace datasets that can train or evaluate replacements.","Moat must move from synthesizer novelty to artifact format, registry network effects, conformance, and integrations.","Make trace-import integrations source-available and make the receipt verifier the non-clonable trust surface.","open","langfuse-docs; braintrust-docs; langsmith-docs; helicone-docs"
